1.000	.291	.364	.255	.307	.070	.134	.133	.256	.172	.048	.198	.224	.182	.071
.291	1.000	.366	.646	.135	.029	.130	.096	.125	-.003	.050	.104	.094	.147	.148
.364	.366	1.000	.379	.248	.217	.155	.215	.220	.104	.225	.163	.111	.122	.195
.255	.646	.379	1.000	.149	.055	.126	.131	.125	.014	.089	.048	.073	.119	.156
.307	.135	.248	.149	1.000	.357	.371	.216	.455	.255	.216	.424	.331	.230	.149
.070	.029	.217	.055	.357	1.000	.265	.525	.261	.350	.584	.389	.071	.094	.222
.134	.130	.155	.126	.371	.265	1.000	.277	.437	.371	.244	.302	.126	.092	.166
.133	.096	.215	.131	.216	.525	.277	1.000	.277	.283	.693	.350	.090	.097	.251
.256	.125	.220	.125	.455	.261	.437	.277	1.000	.419	.278	.398	.277	.236	.151
.172	-.003	.104	.014	.255	.350	.371	.283	.419	1.000	.389	.383	.115	.094	.118
.048	.050	.225	.089	.216	.584	.244	.693	.278	.389	1.000	.425	.036	.080	.246
.198	.104	.163	.048	.424	.389	.302	.350	.398	.383	.425	1.000	.229	.229	.189
.224	.094	.111	.073	.331	.071	.126	.090	.277	.115	.036	.229	1.000	.750	.425
.182	.147	.122	.119	.230	.094	.092	.097	.236	.094	.080	.229	.750	1.000	.422
.071	.148	.195	.156	.149	.222	.166	.251	.151	.118	.246	.189	.425	.422	1.000
