 1.000	.309	.450	.250	.280	.174	.301	.219	.185	.244	.205	.312	.098	.160	.092
.309	1.000	.280	.611	.128	.085	.049	.097	.006	.165	.131	.098	-.019	.008	.100
.450	.280	1.000	.365	.141	.069	.159	.045	.033	.133	.105	.162	-.017	.004	.100
.250	.611	.365	1.000	.109	.053	.061	.079	.047	.129	.128	.084	-.002	.030	.105
.280	.128	.141	.109	1.000	.322	.428	.271	.525	.335	.174	.497	.200	.244	.120
.174	.085	.069	.053	.322	1.000	.336	.586	.366	.413	.480	.367	.176	.207	.180
.301	.049	.159	.061	.428	.336	1.000	.370	.444	.330	.299	.431	.260	.280	.187
.219	.097	.045	.079	.271	.586	.370	1.000	.308	.288	.728	.320	.232	.229	.241
.185	.006	.033	.047	.525	.366	.444	.308	1.000	.494	.205	.644	.363	.347	.196
.244	.165	.133	.129	.335	.413	.330	.288	.494	1.000	.301	.434	.191	.176	.139
.205	.131	.105	.128	.174	.480	.299	.728	.205	.301	1.000	.251	.185	.166	.247
.312	.098	.162	.084	.497	.367	.431	.320	.644	.434	.251	1.000	.318	.367	.221
.098	-.019	-.017	-.002	.200	.176	.260	.232	.363	.191	.185	.318	1.000	.833	.545
.160	.008	.004	.030	.244	.207	.280	.229	.347	.176	.166	.367	.833	1.000	.529
.092	.100	.100	.105	.120	.180	.187	.241	.196	.139	.247	.221	.545	.529	1.000
